type,url
text,https://automeme-files-jtg-udacity.s3.us-west-2.amazonaws.com/textcontent/star-trek.docx
text,https://automeme-files-jtg-udacity.s3.us-west-2.amazonaws.com/textcontent/DogQuotesPDF.pdf
text,https://automeme-files-jtg-udacity.s3.us-west-2.amazonaws.com/textcontent/dicetalking.csv
img,https://automeme-files-jtg-udacity.s3.us-west-2.amazonaws.com/images/IMG_0114.jpeg
img,https://automeme-files-jtg-udacity.s3.us-west-2.amazonaws.com/images/IMG_0493.png
img,https://automeme-files-jtg-udacity.s3.us-west-2.amazonaws.com/images/IMG_1068.jpeg
img,https://automeme-files-jtg-udacity.s3.us-west-2.amazonaws.com/images/IMG_1068.jpeg
img,https://automeme-files-jtg-udacity.s3.us-west-2.amazonaws.com/images/IMG_1096.png
img,https://automeme-files-jtg-udacity.s3.us-west-2.amazonaws.com/images/IMG_1139.jpg
img,https://automeme-files-jtg-udacity.s3.us-west-2.amazonaws.com/images/IMG_1189.jpg
